symbol,name
A,A
AAL,AAL
AAP,AAP
AAPL,AAPL
ABBV,ABBV
ABC,ABC
ABMD,ABMD
ABT,ABT
ACN,ACN
ADBE,ADBE
ADI,ADI
ADM,ADM
ADP,ADP
ADSK,ADSK
AEE,AEE
AEP,AEP
AES,AES
AFL,AFL
AIG,AIG
AIZ,AIZ
AJG,AJG
AKAM,AKAM
ALB,ALB
ALGN,ALGN
ALK,ALK
ALL,ALL
ALLE,ALLE
AMAT,AMAT
AMCR,AMCR
AMD,AMD
AME,AME
AMGN,AMGN
AMP,AMP
AMT,AMT
AMZN,AMZN
ANET,ANET
ANSS,ANSS
ANTM,ANTM
AON,AON
AOS,AOS
APA,APA
APD,APD
APH,APH
APTV,APTV
ATO,ATO
ATVI,ATVI
AVB,AVB
AVGO,AVGO
AVY,AVY
AWK,AWK
AXP,AXP
AZO,AZO
BA,BA
BAC,BAC
BAX,BAX
BBWI,BBWI
BBY,BBY
BDX,BDX
BEN,BEN
BF-B,BF-B
BIIB,BIIB
BIO,BIO
BK,BK
BKNG,BKNG
BKR,BKR
BLK,BLK
BLL,BLL
BMY,BMY
BR,BR
BRK-B,BRK-B
BSX,BSX
BWA,BWA
BXP,BXP
C,C
CAG,CAG
CAH,CAH
CAT,CAT
CB,CB
CBOE,CBOE
CBRE,CBRE
CCI,CCI
CCL,CCL
CDNS,CDNS
CDW,CDW
CE,CE
CERN,CERN
CF,CF
CFG,CFG
CHD,CHD
CHRW,CHRW
CHTR,CHTR
CI,CI
CINF,CINF
CL,CL
CLX,CLX
CMA,CMA
CMCSA,CMCSA
CME,CME
CMG,CMG
CMI,CMI
CMS,CMS
CNC,CNC
CNP,CNP
COF,COF
COO,COO
COP,COP
COST,COST
CPB,CPB
CPRT,CPRT
CRL,CRL
CRM,CRM
CSCO,CSCO
CSX,CSX
CTAS,CTAS
CTLT,CTLT
CTRA,CTRA
CTSH,CTSH
CTXS,CTXS
CVS,CVS
CVX,CVX
CZR,CZR
D,D
DAL,DAL
DD,DD
DE,DE
DFS,DFS
DG,DG
DGX,DGX
DHR,DHR
DIS,DIS
DISCA,DISCA
DISCK,DISCK
DISH,DISH
DLR,DLR
DLTR,DLTR
DOV,DOV
DPZ,DPZ
DRE,DRE
DRI,DRI
DTE,DTE
DUK,DUK
DVA,DVA
DVN,DVN
DXC,DXC
DXCM,DXCM
EA,EA
EBAY,EBAY
ECL,ECL
ED,ED
EFX,EFX
EIX,EIX
EL,EL
EMN,EMN
EMR,EMR
ENPH,ENPH
EQIX,EQIX
EQR,EQR
ES,ES
ESS,ESS
ETN,ETN
ETR,ETR
EVRG,EVRG
EW,EW
EXC,EXC
EXPD,EXPD
EXPE,EXPE
EXR,EXR
F,F
FANG,FANG
FAST,FAST
FB,FB
FBHS,FBHS
FCX,FCX
FDX,FDX
FE,FE
FFIV,FFIV
FIS,FIS
FISV,FISV
FITB,FITB
FLT,FLT
FMC,FMC
FRC,FRC
FRT,FRT
FTNT,FTNT
FTV,FTV
GD,GD
GE,GE
GILD,GILD
GIS,GIS
GL,GL
GLW,GLW
GM,GM
GNRC,GNRC
GOOG,GOOG
GOOGL,GOOGL
GPC,GPC
GPN,GPN
GPS,GPS
GRMN,GRMN
GS,GS
GWW,GWW
HAL,HAL
HAS,HAS
HBAN,HBAN
HBI,HBI
HCA,HCA
HD,HD
HES,HES
HIG,HIG
HII,HII
HLT,HLT
HOLX,HOLX
HON,HON
HPE,HPE
HPQ,HPQ
HRL,HRL
HSIC,HSIC
HST,HST
HSY,HSY
HWM,HWM
IBM,IBM
ICE,ICE
IDXX,IDXX
IEX,IEX
IFF,IFF
ILMN,ILMN
INCY,INCY
INFO,INFO
INTC,INTC
INTU,INTU
IP,IP
IPG,IPG
IPGP,IPGP
IQV,IQV
IRM,IRM
ISRG,ISRG
IT,IT
ITW,ITW
IVZ,IVZ
J,J
JBHT,JBHT
JCI,JCI
JKHY,JKHY
JNPR,JNPR
JPM,JPM
K,K
KEY,KEY
KEYS,KEYS
KHC,KHC
KIM,KIM
KLAC,KLAC
KMB,KMB
KMI,KMI
KMX,KMX
KR,KR
KSU,KSU
LDOS,LDOS
LEG,LEG
LEN,LEN
LH,LH
LHX,LHX
LIN,LIN
LKQ,LKQ
LLY,LLY
LMT,LMT
LNC,LNC
LNT,LNT
LOW,LOW
LRCX,LRCX
LUMN,LUMN
LUV,LUV
LVS,LVS
LW,LW
LYB,LYB
LYV,LYV
MA,MA
MAA,MAA
MAR,MAR
MAS,MAS
MCHP,MCHP
MCK,MCK
MCO,MCO
MDLZ,MDLZ
MDT,MDT
MET,MET
MGM,MGM
MHK,MHK
MKC,MKC
MKTX,MKTX
MLM,MLM
MMC,MMC
MMM,MMM
MNST,MNST
MO,MO
MOS,MOS
MPC,MPC
MPWR,MPWR
MRK,MRK
MRO,MRO
MS,MS
MSCI,MSCI
MSFT,MSFT
MSI,MSI
MTB,MTB
MTD,MTD
MU,MU
NCLH,NCLH
NDAQ,NDAQ
NEE,NEE
NEM,NEM
NFLX,NFLX
NI,NI
NLOK,NLOK
NLSN,NLSN
NOC,NOC
NOV,NOV
NOW,NOW
NRG,NRG
NSC,NSC
NTAP,NTAP
NTRS,NTRS
NUE,NUE
NVDA,NVDA
NVR,NVR
NWL,NWL
NWS,NWS
NWSA,NWSA
NXPI,NXPI
O,O
ODFL,ODFL
OKE,OKE
ORCL,ORCL
ORLY,ORLY
OXY,OXY
PAYC,PAYC
PAYX,PAYX
PBCT,PBCT
PCAR,PCAR
PEAK,PEAK
PEG,PEG
PENN,PENN
PEP,PEP
PFE,PFE
PFG,PFG
PG,PG
PGR,PGR
PH,PH
PHM,PHM
PKG,PKG
PKI,PKI
PLD,PLD
PM,PM
PNC,PNC
PNR,PNR
PNW,PNW
PPG,PPG
PPL,PPL
PRGO,PRGO
PRU,PRU
PSA,PSA
PSX,PSX
PTC,PTC
PVH,PVH
PWR,PWR
PXD,PXD
PYPL,PYPL
QCOM,QCOM
QRVO,QRVO
RCL,RCL
RE,RE
REG,REG
REGN,REGN
RF,RF
RHI,RHI
RJF,RJF
RL,RL
RMD,RMD
ROK,ROK
ROL,ROL
ROP,ROP
ROST,ROST
RSG,RSG
RTX,RTX
SBAC,SBAC
SBUX,SBUX
SCHW,SCHW
SEE,SEE
SHW,SHW
SIVB,SIVB
SJM,SJM
SLB,SLB
SNA,SNA
SNPS,SNPS
SO,SO
SPG,SPG
SPGI,SPGI
SRE,SRE
STE,STE
STT,STT
STX,STX
STZ,STZ
SWK,SWK
SWKS,SWKS
SYF,SYF
SYK,SYK
SYY,SYY
T,T
TAP,TAP
TDG,TDG
TECH,TECH
TEL,TEL
TER,TER
TFC,TFC
TFX,TFX
TGT,TGT
TJX,TJX
TMO,TMO
TMUS,TMUS
TPR,TPR
TRMB,TRMB
TROW,TROW
TRV,TRV
TSCO,TSCO
TSLA,TSLA
TSN,TSN
TT,TT
TTWO,TTWO
TWTR,TWTR
TXN,TXN
TXT,TXT
TYL,TYL
UA,UA
UAA,UAA
UAL,UAL
UDR,UDR
UHS,UHS
ULTA,ULTA
UNM,UNM
UPS,UPS
URI,URI
USB,USB
V,V
VFC,VFC
VIAC,VIAC
VLO,VLO
VMC,VMC
VNO,VNO
VRSK,VRSK
VRSN,VRSN
VRTX,VRTX
VTR,VTR
VTRS,VTRS
VZ,VZ
WAB,WAB
WAT,WAT
WBA,WBA
WDC,WDC
WEC,WEC
WELL,WELL
WFC,WFC
WHR,WHR
WLTW,WLTW
WMB,WMB
WMT,WMT
WRB,WRB
WRK,WRK
WST,WST
WU,WU
WY,WY
WYNN,WYNN
XEL,XEL
XLNX,XLNX
XOM,XOM
XRAY,XRAY
XYL,XYL
YUM,YUM
ZBH,ZBH
ZBRA,ZBRA
ZION,ZION
ZTS,ZTS
